Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Booth,Constraint 1,Penalty Method,0.3,0.5,3.5,13,13,1.0,12.1,12.1,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,1.0,1.0,13,13,0.9896803495767628,15.766666666666667,29.733333333333334,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,1.0,2.0,13,13,0.9998889406538384,13.166666666666666,15.866666666666667,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,2.0,1.0,13,13,0.9986928565938349,16.2,22.6,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,3.5,0.5,13,13,0.9998310580285084,23.0,24.1,"Booth, without Const"
Booth,Constraint 3,Penalty Method,0.3,0.5,3.5,13,13,0.9978729311667348,13.0,14.166666666666666,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.3,1.0,1.0,13,13,0.9976167730985401,13.566666666666666,32.63333333333333,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.3,1.0,2.0,13,13,0.9978757547094339,12.433333333333334,14.733333333333333,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.3,2.0,1.0,13,13,0.9977988916026271,14.9,25.766666666666666,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.3,3.5,0.5,13,13,0.9977463423357287,32.56666666666667,35.4,"Booth, Const3, Penalty"
Booth,Constraint 3,Rejection Method,0.3,0.5,3.5,13,13,0.9978757547094339,16.233333333333334,20.2,"Booth, Const3, Rejection"
Booth,Constraint 3,Rejection Method,0.3,1.0,1.0,13,13,0.9977264206733522,13.266666666666667,25.133333333333333,"Booth, Const3, Rejection"
Booth,Constraint 3,Rejection Method,0.3,1.0,2.0,13,13,0.9979294020207153,13.5,16.366666666666667,"Booth, Const3, Rejection"
Booth,Constraint 3,Rejection Method,0.3,2.0,1.0,13,13,0.997375046470807,15.033333333333333,23.033333333333335,"Booth, Const3, Rejection"
Booth,Constraint 3,Rejection Method,0.3,3.5,0.5,13,13,0.997444223266933,38.43333333333333,39.56666666666667,"Booth, Const3, Rejection"
Booth,Constraint 4,Penalty Method,0.3,0.5,3.5,13,13,1.0,11.933333333333334,11.933333333333334,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,1.0,1.0,13,13,0.9997392928907901,13.8,20.7,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,1.0,2.0,13,13,0.999999372546067,13.133333333333333,14.1,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,2.0,1.0,13,13,0.9999174898077953,18.066666666666666,23.366666666666667,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,3.5,0.5,13,13,0.9997189006379639,27.266666666666666,31.933333333333334,"Booth, Const4, Penalty"
Booth,Constraint 4,Rejection Method,0.3,0.5,3.5,13,13,0.9998916073330542,15.633333333333333,16.833333333333332,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,1.0,1.0,13,13,0.9979463432769096,11.466666666666667,35.0,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,1.0,2.0,13,13,0.9994227423815328,12.466666666666667,22.666666666666668,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,2.0,1.0,13,13,0.998725484198357,13.566666666666666,32.3,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,3.5,0.5,13,13,0.9982625800592004,30.666666666666668,39.8,"Booth, Const4, Rejection"
Langermann,Constraint 1,Penalty Method,0.3,0.5,3.5,13,13,0.9443014940845699,10.1,15.533333333333333,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,1.0,1.0,13,13,0.8885343521717309,11.3,22.466666666666665,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,1.0,2.0,13,13,0.9855313709611304,10.8,13.533333333333333,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,2.0,1.0,13,13,0.9164362596755379,14.066666666666666,24.366666666666667,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,3.5,0.5,13,13,0.9677398687412299,26.833333333333332,30.3,"Langermann, without Const"
Langermann,Constraint 3,Penalty Method,0.3,0.5,3.5,13,13,1.0,10.766666666666667,10.766666666666667,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,1.0,1.0,13,13,0.9993936242658833,15.933333333333334,22.966666666666665,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,1.0,2.0,13,13,0.9999966238128956,11.5,12.866666666666667,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,2.0,1.0,13,13,0.999321302707219,14.266666666666667,17.233333333333334,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,3.5,0.5,13,13,0.9903372874859433,30.7,35.733333333333334,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Rejection Method,0.3,0.5,3.5,13,13,0.9947941478164746,15.166666666666666,15.966666666666667,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,1.0,1.0,13,13,0.9926239068835413,13.4,34.0,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,1.0,2.0,13,13,0.9998353896492078,13.566666666666666,17.166666666666668,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,2.0,1.0,13,13,0.9898425773658283,16.4,31.6,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,3.5,0.5,13,13,0.9727500924780602,34.166666666666664,37.233333333333334,"Langermann, Const3, Rejection"
Langermann,Constraint 4,Penalty Method,0.3,0.5,3.5,13,13,0.9277854950845132,11.9,18.433333333333334,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,1.0,1.0,13,13,0.9240017881382909,18.5,29.666666666666668,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,1.0,2.0,13,13,0.9398492379203555,14.566666666666666,20.066666666666666,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,2.0,1.0,13,13,0.9782012673184842,25.366666666666667,29.866666666666667,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,3.5,0.5,13,13,0.8771430894029367,31.633333333333333,44.1,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Rejection Method,0.3,0.5,3.5,13,13,0.897844208822896,17.333333333333332,26.066666666666666,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,1.0,1.0,13,13,0.912898446498291,19.333333333333332,38.93333333333333,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,1.0,2.0,13,13,0.9129120363535459,14.966666666666667,24.266666666666666,"Langermann, Const4, Rejection"
