Fitness Function,Constraint,Constraint Used,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,25,25
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,5,5
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,7,7
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5822612056342736,14,50
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,14,14
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5822612056342736,12,50
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5822612056342736,8,50
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5817980646908857,13,50
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,14,14
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5822612056342736,6,50
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,7,7
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,12,12
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9984040610211258,17,50
Langermann,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5822612056342736,14,50
