Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Booth,Constraint 1,Penalty Method,0.05,0.8,1.6,13,13,0.9969816707320405,15.066666666666666,39.6,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.1,0.8,1.6,13,13,0.9983658341084957,12.9,36.333333333333336,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.25,0.8,1.6,13,13,0.9996762716478095,13.633333333333333,22.933333333333334,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.8495937112105559,5.8,50.0,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,5,13,0.9875530394652839,17.266666666666666,47.63333333333333,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,10,13,0.9977193618166047,16.1,31.166666666666668,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,13,1,0.9960021053918121,41.1,50.0,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,13,5,0.9949359761692997,29.166666666666668,44.9,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,13,10,0.9878698194782873,17.533333333333335,29.233333333333334,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,13,15,0.9998624686024619,12.333333333333334,18.333333333333332,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,13,20,0.9999352532587034,11.933333333333334,16.5,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,25,13,1.0,9.6,9.6,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,50,13,1.0,8.266666666666667,8.266666666666667,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.3,0.8,1.6,100,13,1.0,6.566666666666666,6.566666666666666,"Booth, without Const"
Booth,Constraint 1,Penalty Method,0.5,0.8,1.6,13,13,0.9999765083548058,11.766666666666667,13.1,"Booth, without Const"
Booth,Constraint 1,Penalty Method,1.0,0.8,1.6,13,13,0.9999984313651672,20.133333333333333,23.266666666666666,"Booth, without Const"
Booth,Constraint 3,Penalty Method,0.05,0.8,1.6,13,13,0.9935866364861324,12.533333333333333,38.1,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.1,0.8,1.6,13,13,0.9975210863737398,12.233333333333333,38.233333333333334,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.25,0.8,1.6,13,13,0.9978606958150391,10.833333333333334,18.566666666666666,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.706991876040201,5.833333333333333,50.0,"Booth, Const3, Penalty"
Booth,Constraint 3,Penalty Method,0.3,0.8,1.6,5,13,0.9941916589411401,15.733333333333333,38.63333333333333,"Booth, Const3, Penalty"
