Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,1.0,7,7
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.000339324649463342,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.10146089058885231,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.19008581568073812,4,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.006911259646461576,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.0031868000788469394,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.8270983297967315,7,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.36817975614523857,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.3806856990925101,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.48657818563573113,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.0023200916694500616,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.3298296786312999,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.3312009593178076,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.13136755717992615,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.7537264788199937,7,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.37960059066161483,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.019774476924434455,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.40373446129146146,4,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5764957490699913,7,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.20282927082168073,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.45346740565200966,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.352800848604266,4,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.13919173560630307,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.0048782397271382155,7,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.834415235867998,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.07320886568339595,4,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.7727681406648249,5,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.0008762948217211869,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.27868976716515803,6,50
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.46116517981772415,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.22756608637144216,2,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.24765151879916056,7,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.12592145898196577,4,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.4933474001146689,6,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.9984168672685441,10,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.466301077873988,7,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.08786185122806517,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.9623974981643347,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.4893098917382202,9,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.1333547426282537,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.9116315621631823,4,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.9547124465221821,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.9890113320753469,6,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.4065591584743856,4,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.23832410037337431,3,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.18683234663258294,10,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.41950505866392024,7,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.12322633455917345,6,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.15647881334648361,3,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.549990119465148,6,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.0884320105691704,2,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.40844522562989866,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.24784823204396675,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.21748069111403648,4,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.2844639151334441,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.8404296518643282,4,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.4788526844400422,4,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5428449538785595,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.4678625193982613,5,50
Langermann,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5772332825100155,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.2090779315514266,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.19586078731321543,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.11075352982531382,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.28228824272352293,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.1333547426282537,7,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.7719172966944454,7,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.0403008248501199,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6872850483306158,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9711171132434093,7,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.23716092266906802,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.513114306213194,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.07552363795162967,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.18004145922123066,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6322740337474901,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.8128747753731492,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.4239095780749065,2,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.0761535012599943,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.35084393368426164,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.28848456455374083,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.09209226247392416,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.23622209748422018,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9810366277334337,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9481362277796014,8,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.3800079164432815,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.3254023246022717,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.8292768917378125,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.28908556429850435,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.42288829890150204,8,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.4148115590836648,8,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6680425238445453,6,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.038661253200127595,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.03960506303259935,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.41730562489237505,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.4654298686322798,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5072337081166324,9,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.030266062960894416,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.35839057183285955,3,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.28813003209176635,7,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.11883668567043543,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.42227114349537365,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.06298359628001235,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.03211497048790276,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.1679090473804396,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.004089508045231889,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.00037214628216818385,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.15491118763540618,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.6639836034943167,6,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.3664362742334314,3,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.09574672217789389,6,50
