{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9473684210526315}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9122807017543859}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9473684210526315}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9385964912280702}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9298245614035088}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9210526315789473}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9298245614035088}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9473684210526315}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9035087719298246}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9385964912280702}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.9298245614035088}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9385964912280702}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9298245614035088}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9210526315789473}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9298245614035088}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9210526315789473}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9473684210526315}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.9122807017543859}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9122807017543859}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9210526315789473}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9385964912280702}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9385964912280702}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9385964912280702}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9298245614035088}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9210526315789473}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.956140350877193}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.9298245614035088}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.9473684210526315}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9122807017543859}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9473684210526315}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9210526315789473}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.956140350877193}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9035087719298246}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9385964912280702}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.9122807017543859}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9298245614035088}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9122807017543859}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.8859649122807017}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9473684210526315}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9122807017543859}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.6228070175438597}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.8947368421052632}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9210526315789473}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9473684210526315}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9210526315789473}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.9473684210526315}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9122807017543859}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9385964912280702}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.9210526315789473}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.9122807017543859}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.9298245614035088}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.9122807017543859}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.9385964912280702}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.9385964912280702}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.9473684210526315}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9736842105263158, 'best_acc': 0.9736842105263158}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.9210526315789473}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.956140350877193}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.9473684210526315}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.9298245614035088}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.9736842105263158, 'best_acc': 0.9736842105263158}
