{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.7209302325581395}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.7906976744186046}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.5581395348837209}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.5813953488372093}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.2558139534883721}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.7674418604651163}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.8372093023255814}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.5581395348837209}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.813953488372093}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.5348837209302325}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.32558139534883723}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.5348837209302325}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.5581395348837209}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.5813953488372093}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.5581395348837209}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.46511627906976744}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.5581395348837209}
