{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.12549019607843137}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.08627450980392157}
{'C1': 0.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.08627450980392157}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.1084967320261438}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.12549019607843137}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.2758169934640523}
{'C1': 0.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.10326797385620914}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.2679738562091503}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.23921568627450981}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.2954248366013072}
{'C1': 0.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.20392156862745098}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.10326797385620914}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.0915032679738562}
{'C1': 0.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.09019607843137255}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.09019607843137255}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.08627450980392157}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.2169934640522876}
{'C1': 0.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.08627450980392157}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.26405228758169935}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.24313725490196078}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.32941176470588235}
{'C1': 0.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.28888888888888886}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.07973856209150326}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.1450980392156863}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.07973856209150326}
{'C1': 0.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.09019607843137255}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.2065359477124183}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.2235294117647059}
{'C1': 0.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.29411764705882354}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.09019607843137255}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.08627450980392157}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.08758169934640522}
{'C1': 0.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.14640522875816994}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.09019607843137255}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.0915032679738562}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.10980392156862745}
{'C1': 1, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.08627450980392157}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.09019607843137255}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.2784313725490196}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.33986928104575165}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.2849673202614379}
{'C1': 1, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.257516339869281}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.0915032679738562}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.1084967320261438}
{'C1': 1, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.20261437908496732}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.2196078431372549}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.09019607843137255}
{'C1': 1, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.1084967320261438}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.11372549019607843}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.09019607843137255}
